MSSV,TC1(/3),TC2(/4),TC3(/2.5),TC4(/0.5),Tổng(/10),Nhận xét ngắn
S0038,3.0,3.75,2.0,0.5,9.5,"Bài làm đầy đủ mục tiêu nghề nghiệp và kế hoạch chuẩn bị theo KSA, có nêu rõ học ở UIT và mục tiêu năm 1-2 khá đo được. Lộ trình 2/5/10 năm rõ nhưng còn thiếu phần rủi ro/backup plan và một số chỗ trình bày còn lỗi định dạng."
S0039,2.5,3.5,2.0,0.5,8.5,"Mục tiêu nghề nghiệp khá rõ (Backend→Fullstack→Lead), có công ty/thu nhập/kỹ năng và lý do, nhưng còn thiếu nêu cụ thể quốc gia và kế hoạch học lên. Quá trình chuẩn bị và lộ trình có nhiều mốc/milestone hợp lý, tuy nhiên timeline chưa đúng 2/5/10 năm và chưa có rủi ro/backup plan rõ ràng."
S0040,2.0,3.0,1.5,0.5,7.0,"Bài nêu mục tiêu nghề nghiệp và kế hoạch chuẩn bị khá đầy đủ, có chỉ tiêu như TOEIC/MOS và lộ trình theo giai đoạn. Tuy nhiên mục tiêu còn thiếu một số ý (công ty/quốc gia/ngôn ngữ cụ thể) và timeline 2/5/10 năm chưa tách mốc rõ, chưa có rủi ro/backup plan."
S0041,3.0,3.25,1.75,0.25,8.5,"Bài làm đầy đủ mục tiêu nghề nghiệp và phần chuẩn bị (có phân loại KSA, nêu học ở UIT và ngoài trường), nội dung khá chi tiết. Tuy nhiên lộ trình 2/5/10 năm chưa bám đúng mốc và còn thiếu phần rủi ro/backup plan rõ ràng, trình bày hơi dài và còn lan man."
S0042,2.75,3.5,1.75,0.5,8.5,"Bài nêu mục tiêu nghề nghiệp khá cụ thể (vị trí, công ty, lương, định hướng học thêm) và phần chuẩn bị KSA tương đối đầy đủ, có phân biệt UIT vs bên ngoài. Tuy nhiên lộ trình chưa bám rõ mốc 2/5/10 năm và thiếu rủi ro/backup plan; một số ý còn chung chung/chưa SMART."
S0043,3.0,3.75,2.0,0.5,9.5,"Bài làm nêu mục tiêu nghề nghiệp khá đầy đủ và cụ thể (vị trí, công ty, ngôn ngữ, quốc gia, lương, học lên), kế hoạch chuẩn bị có phân loại KSA và mục tiêu năm 1-2 tương đối đo được. Lộ trình 2/5/10 năm rõ nhưng chưa nêu rủi ro/backup plan nên chưa đạt tối đa."
S0044,3.0,3.5,2.0,0.5,9.0,"Bài nêu mục tiêu nghề nghiệp khá đầy đủ và cụ thể (vị trí, công ty, ngôn ngữ, quốc gia, lương, học lên) và có kế hoạch chuẩn bị KSA tương đối rõ, có một số mục tiêu đo được (TOEIC). Lộ trình 2/5/10 năm có mốc thời gian nhưng còn thiếu phần rủi ro/backup plan và một vài milestone còn chung chung."
S0045,2.5,3.0,1.25,0.5,7.5,"Bài làm đầy đủ các phần mục tiêu và quá trình chuẩn bị, có lý do lựa chọn và dẫn chứng thị trường. Tuy nhiên mục tiêu năm 1-2 và lộ trình 2/5/10 năm chưa đúng mốc yêu cầu, milestone/backup plan còn thiếu và một số mục tiêu còn chưa SMART."
S0046,2.75,3.0,1.0,0.25,7.0,"Mục tiêu nghề nghiệp khá đầy đủ và tương đối cụ thể; phần chuẩn bị có phân loại KSA và nêu được học ở UIT/bên ngoài nhưng mục tiêu năm 1-2 chưa thật SMART. Lộ trình chưa đúng yêu cầu 2/5/10 năm và thiếu rủi ro/backup plan, trình bày có bố cục nhưng còn nhiều lỗi/nhòe ký tự."
S0047,2.0,3.0,1.75,0.25,7.0,"Bài có mục tiêu nghề nghiệp khá cụ thể (chọn vị trí quản lý sàn TMĐT) và kế hoạch chuẩn bị/nâng ngoại ngữ, môn học tương đối rõ. Tuy nhiên còn thiếu các ý như công ty/quốc gia/lương và lộ trình 2/5/10 năm chưa trình bày đúng mốc, trình bày còn nhiều lỗi/khó đọc."
S0048,2.75,3.25,1.75,0.5,8.5,"Mục tiêu nghề nghiệp khá đầy đủ và cụ thể (vị trí, quốc gia, ngôn ngữ, lương, học lên) nhưng một số phần còn chung chung. Kế hoạch chuẩn bị có phân loại KSA và nêu học ở UIT vs bên ngoài, tuy nhiên lộ trình 2/5/10 năm còn lệch so với mục tiêu Data Engineer và thiếu rủi ro/backup plan."
S0049,2.25,2.5,1.25,0.25,6.5,"Bài nêu được mục tiêu DevOps và một số thông tin (công ty, ngôn ngữ, quốc gia, lương) nhưng còn thiếu lý do lựa chọn và mục tiêu học lên chưa rõ. Kế hoạch chuẩn bị và lộ trình 2/5/10 năm còn chung chung, chưa tách mốc cụ thể và chưa có rủi ro/backup plan."
S0050,3.0,3.75,1.75,0.5,9.0,"Bài làm nêu mục tiêu nghề nghiệp khá cụ thể và phần chuẩn bị KSA phân loại rõ, có nhiều minh chứng/khóa học phù hợp. Tuy nhiên lộ trình chưa bám đúng mốc 2/5/10 năm và chưa có rủi ro/backup plan nên điểm TC3 bị trừ."
S0051,2.5,3.0,2.0,0.5,8.0,"Bài có mục tiêu nghề nghiệp khá đầy đủ (vị trí, công ty, ngôn ngữ, quốc gia, lương, học lên) và trình bày rõ ràng. Tuy nhiên mục tiêu/nội dung còn có chỗ chưa nhất quán và lộ trình 2/5/10 năm chưa nêu rủi ro/backup plan, một số mục tiêu năm 1-2 chưa thật SMART."
S0052,2.5,3.0,1.75,0.25,7.5,"Bài nêu khá rõ vị trí mong muốn, yêu cầu (tiếng Anh, quốc gia, lương) và có kế hoạch học tập/kỹ năng kèm mục tiêu đo được (GPA, TOEIC, MOS). Tuy nhiên lộ trình 2/5/10 năm còn thiên về liệt kê, thiếu rủi ro/backup plan và bài viết còn nhiều lỗi chính tả/diễn đạt."
S0053,2.75,3.25,1.75,0.5,8.5,"Mục tiêu nghề nghiệp và phần chuẩn bị trình bày khá đầy đủ, có phân loại KSA và nêu được học ở UIT vs bên ngoài. Lộ trình có mốc thời gian nhưng chưa đúng đủ 2/5/10 và thiếu rủi ro/backup plan, một số mục tiêu năm 1-2 còn chưa SMART/đo được."
S0054,3.0,3.0,2.0,0.5,8.5,Bài nêu mục tiêu nghề nghiệp khá đầy đủ và có lộ trình 2/5/10 năm rõ ràng. Tuy nhiên phần chuẩn bị và mục tiêu 1-2 năm còn thiếu các chỉ số SMART cụ thể và chưa có rủi ro/backup plan.
S0055,2.5,3.25,1.75,0.5,8.0,"Bài xác định mục tiêu khá rõ (công ty, tiếng Anh, lương, học lên) và có kế hoạch học tại UIT/ngoài trường cùng các mốc 1-2, 3-4, 5, 10 năm tương đối cụ thể. Tuy nhiên mục tiêu còn thiếu lý do lựa chọn/độ cụ thể ở một số gạch đầu dòng và lộ trình chưa nêu rủi ro hoặc phương án dự phòng."
S0056,3.0,3.5,1.75,0.25,8.5,"Mục tiêu nghề nghiệp và phần chuẩn bị khá đầy đủ, có nêu rõ vị trí/công ty/ngôn ngữ/quốc gia/lương và kế hoạch học thêm. Lộ trình 2/5/10 năm còn thiếu mốc 2 năm và chưa có rủi ro/backup plan; một vài chỗ chưa nhất quán (năm 4 nêu ứng tuyển lập trình/ dữ liệu)."
S0057,3.0,3.0,2.0,0.5,8.5,Mục tiêu nghề nghiệp nêu khá đầy đủ và hợp lý; phần chuẩn bị có phân loại KSA nhưng mục tiêu năm 1-2 chưa SMART/đo được rõ ràng. Lộ trình 2/5/10 năm tương đối rõ nhưng thiếu rủi ro và phương án dự phòng.
S0058,3.0,3.5,2.0,0.5,9.0,"Bài làm nêu mục tiêu nghề nghiệp khá đầy đủ và cụ thể (vị trí, công ty, ngôn ngữ, quốc gia, lương, học lên) và có kế hoạch chuẩn bị theo KSA kèm mục tiêu năm 1-2 tương đối rõ. Lộ trình 2/5/10 năm hợp lý nhưng còn thiếu phần rủi ro/backup plan và một số ý còn dài dòng."
S0059,2.75,3.5,2.0,0.5,9.0,"Bài làm nêu mục tiêu nghề nghiệp Digital Marketing khá đầy đủ và có kế hoạch chuẩn bị theo KSA, kèm nguồn học trong/ngoài UIT. Lộ trình 2/5/10 năm rõ nhưng còn thiếu phần rủi ro/backup plan và một số mục tiêu năm 1-2 chưa thật sự SMART."
S0060,2.75,3.25,1.75,0.25,8.0,"Bài nêu mục tiêu nghề nghiệp khá cụ thể (vị trí, công ty, ngôn ngữ, lương, học lên) và có kế hoạch chuẩn bị theo KSA, nhưng mục tiêu năm 1-2 còn chưa thật SMART. Lộ trình sau tốt nghiệp có nhiều mốc nhưng chưa bám rõ 2/5/10 năm và thiếu phương án rủi ro/backup plan."
S0061,2.75,3.25,0.75,0.25,7.0,"Mục tiêu nghề nghiệp và phần chuẩn bị trình bày khá đầy đủ, có lý do và nêu được kiến thức/kỹ năng cần thiết. Tuy nhiên lộ trình chưa đúng yêu cầu mốc 2/5/10 năm và mục tiêu năm 1-2 còn thiếu tính đo lường/backup plan."
S0062,3.0,3.5,2.0,0.5,9.0,"Bài nêu mục tiêu nghề nghiệp khá đầy đủ và cụ thể (vị trí, công ty, ngôn ngữ, quốc gia, lương, học lên) và có kế hoạch chuẩn bị theo KSA, có phần học ở UIT vs bên ngoài. Lộ trình 2/5/10 năm rõ nhưng còn thiếu rủi ro/backup plan và một số mục tiêu chưa thật sự SMART."
S0063,2.0,3.0,1.5,0.5,7.0,"Bài xác định được hướng nghề nghiệp quản lý sàn TMĐT và có kế hoạch chuẩn bị khá đầy đủ, có một số mục tiêu đo được (TOEIC/MOS). Tuy nhiên mục tiêu nghề nghiệp còn thiếu các ý như công ty/quốc gia/lương cụ thể và lộ trình chưa bám rõ mốc 2/5/10 năm, chưa có rủi ro/backup plan."
S0064,2.5,3.25,1.0,0.5,7.5,"Bài xác định mục tiêu nghề nghiệp khá rõ (UX/UI, công ty, ngôn ngữ, học lên) và phần chuẩn bị có phân loại KSA, có nêu học ở UIT vs bên ngoài. Tuy nhiên lộ trình chưa đúng dạng 2/5/10 năm và thiếu rủi ro/backup plan, một số mục tiêu (lương, mốc đo lường) còn chung chung."
S0065,2.75,3.0,1.75,0.5,8.0,"Mục tiêu nghề nghiệp khá đầy đủ và cụ thể (vị trí, công ty, ngôn ngữ, quốc gia, lương, học lên) và có lý do. Phần chuẩn bị và lộ trình có nội dung nhưng mục tiêu năm 1-2 và các mốc 2/5/10 năm còn thiếu tính đo được và chưa nêu rủi ro/backup plan."
S0066,3.0,3.25,2.0,0.5,9.0,"Bài nêu mục tiêu nghề nghiệp khá đầy đủ và cụ thể (vị trí, công ty, ngôn ngữ, quốc gia, lương, học lên) và có kế hoạch chuẩn bị theo KSA tương đối rõ. Timeline 2/5/10 năm chi tiết nhưng còn thiếu phần rủi ro/backup plan và một số mục tiêu năm 1-2 chưa thật sự SMART/đo được."
S0067,3.0,3.25,1.5,0.5,8.5,"Mục tiêu nghề nghiệp và phần chuẩn bị trình bày khá đầy đủ, có nêu rõ vị trí/công ty/ngôn ngữ/quốc gia/lương/học lên và kế hoạch học trong & ngoài UIT. Tuy nhiên lộ trình còn thiếu mốc 2 năm (và backup plan/rủi ro) và một số mục tiêu năm 1-2 chưa thật sự SMART/đo được."
S0068,2.5,3.0,1.5,0.25,7.5,"Bài viết có mục tiêu nghề nghiệp khá rõ (vị trí và công ty mong muốn), kế hoạch chuẩn bị tương đối đầy đủ nhưng mục tiêu còn thiếu tính đo lường cụ thể. Lộ trình dài hạn chưa bám đúng mốc 2/5/10 năm và chưa nêu rủi ro/backup plan."
S0069,3.0,3.25,1.5,0.25,8.0,"Mục tiêu nghề nghiệp nêu khá đầy đủ và có lý do, phần chuẩn bị có phân loại KSA và nêu được học ở UIT/bên ngoài nhưng mục tiêu năm 1-2 còn chưa thật SMART. Lộ trình dài hạn có mốc và milestone nhưng chưa đúng cấu trúc 2/5/10 năm và thiếu rủi ro/backup plan, trình bày nhìn chung rõ nhưng còn nhiều lỗi chính tả."
S0070,2.75,3.25,0.0,0.25,6.5,"Mục tiêu nghề nghiệp khá cụ thể (vị trí chuyên viên quản lý sàn TMĐT, Shopee, tiếng Anh, Singapore, mức lương mong muốn) và có lý do; phần chuẩn bị có phân loại KSA và nêu học ở UIT/bên ngoài nhưng mục tiêu năm 1-2 còn chưa thật SMART. Tuy nhiên bài chưa có lộ trình 2/5/10 năm với milestone/backup plan nên bị trừ nhiều điểm."
S0071,2.75,3.25,1.5,0.25,8.0,"Mục tiêu nghề nghiệp UX/UI khá cụ thể (công ty, lương, ngôn ngữ, quốc gia) và có lập luận; phần chuẩn bị có nêu KSA và học ở UIT/ngoài nhưng mục tiêu năm 1-2 chưa thật sự SMART. Lộ trình còn thiếu mốc 2/5/10 năm và chưa có rủi ro/backup plan, trình bày còn dài và lặp."
S0072,2.75,3.25,2.0,0.5,8.5,"Bài nêu mục tiêu UX/UI khá cụ thể (vị trí, công ty, ngôn ngữ, quốc gia, học lên) và có lập luận; phần chuẩn bị và lộ trình 2/5/10 năm chi tiết nhưng mục tiêu năm 1-2 còn thiếu chỉ số đo được và chưa có rủi ro/backup plan rõ ràng."
S0073,3.0,3.0,2.0,0.5,8.5,"Mục tiêu nghề nghiệp đầy đủ và khá cụ thể (vị trí, công ty, tiếng Anh, quốc gia, lương, học/chứng chỉ) kèm lý do. Phần chuẩn bị và lộ trình có nội dung rõ nhưng mục tiêu năm 1-2 còn thiếu chỉ số đo lường/SMART và kế hoạch dự phòng/rủi ro chưa nêu cụ thể."
S0074,2.5,3.0,1.5,0.25,7.5,"Bài nêu mục tiêu khá đầy đủ (vị trí, quốc gia, lương, ngôn ngữ/học lên) và có định hướng học/hoạt động ở UIT lẫn bên ngoài, nhưng một số mục tiêu còn chung chung. Lộ trình thời gian chưa bám rõ mốc 2/5/10 năm và thiếu rủi ro/backup plan; trình bày còn nhiều lỗi chính tả và dài dòng."
S0075,2.5,3.0,1.25,0.25,7.0,"Mục tiêu nghề nghiệp khá đầy đủ các ý (vị trí/công ty/ngôn ngữ/quốc gia/lương/học lên) nhưng còn rộng và lý do chọn chưa cụ thể. Kế hoạch chuẩn bị và lộ trình có nêu theo giai đoạn nhưng mục tiêu chưa thật sự SMART, thiếu mốc 10 năm và chưa có rủi ro/backup plan."
