MSSV,TC1(/1.5),TC2(/2),TC3(/3),TC4(/2),TC5(/1.5),Tổng(/10),Nhận xét ngắn
S0011,1.5,1.5,1.75,1.5,1.25,7.5,"Có 2 CV cho 2 vị trí khác nhau khá rõ, nội dung cơ bản tương đối đầy đủ và mục tiêu nghề nghiệp phù hợp. Tuy nhiên phần mapping theo JD và minh chứng/định lượng (kết quả, số liệu, impact) còn thiếu nên mức thuyết phục chưa cao."
S0012,0.0,1.5,1.5,1.0,1.0,5.0,"CV hiện chỉ thấy 1 bản nên chưa đạt yêu cầu 02 CV cho 02 vị trí. Nội dung và mục tiêu có nhưng còn chung, thiếu số liệu/thành tựu cụ thể và liên kết rõ theo JD; trình bày/format và một số phần mô tả còn rối."
S0013,1.5,1.5,1.75,1.5,1.0,7.5,"Có 2 CV cho 2 vị trí khác nhau, nội dung cơ bản khá đầy đủ và đúng hướng. Tuy nhiên mức độ tuỳ biến theo JD còn chung chung, thiếu số liệu/thành tựu cụ thể và còn placeholder ở phần chứng chỉ."
S0014,1.5,1.5,1.75,1.5,1.0,7.5,"Có đủ 2 CV cho 2 vị trí khác nhau, trình bày khá chuyên nghiệp. Tuy nhiên nội dung còn chung chung/thiếu minh chứng theo JD (đặc biệt CV Kỹ sư phần mềm thiếu dự án/đầu ra rõ ràng) và phần mục tiêu có chỗ chưa phù hợp (nêu kinh nghiệm hơi “quá tay”)."
S0015,1.5,1.25,1.5,1.0,1.0,6.5,"Có 2 CV cho 2 vị trí rõ ràng và mục tiêu nghề nghiệp phù hợp. Tuy nhiên nội dung còn thiếu/để trống mục kỹ năng, ít minh chứng thành tựu/số liệu và trình bày chưa thật nhất quán."
S0016,1.5,1.75,2.25,1.25,1.25,8.0,"Có đủ 2 CV cho 2 vị trí khác nhau (Web TMĐT và UX/UI), nội dung khá đầy đủ và có một số điểm nhấn/impact (ví dụ giảm thời gian tải 30%). Tuy nhiên phần mapping theo JD còn chung chung và bản trích xuất bị lỗi dấu/spacing làm giảm tính chuyên nghiệp khi trình bày."
S0017,0.5,1.5,0.5,1.5,1.0,5.0,"CV hiện mới thể hiện rõ 1 vị trí chính và nội dung còn chung chung, chưa có CV thứ 2 cho vị trí khác. Cần tuỳ biến theo JD với thành tựu/số liệu cụ thể và bổ sung các mục còn thiếu (dự án/portfolio, liên kết) để tăng tính chuyên nghiệp."
S0018,1.25,1.5,0.75,1.25,1.0,6.0,"Có 2 CV cho 2 hướng khác nhau, thông tin cơ bản tương đối đầy đủ. Tuy nhiên CV còn chung chung, ít tuỳ biến theo JD và thiếu thành tựu/số liệu cụ thể; trình bày và câu chữ cần gọn, nhất quán hơn."
S0019,1.5,1.5,2.0,1.25,1.25,7.5,"Có 2 CV cho 2 vị trí khác nhau (E-commerce Sales và Data Analyst), nội dung cơ bản tương đối đầy đủ và có một vài thành tựu/impact. Tuy nhiên mapping theo từng yêu cầu JD còn chung, thiếu số liệu/đầu ra ở nhiều mục và format/trình bày (lỗi dấu, bố cục) chưa thật sự chuyên nghiệp."
S0020,0.0,1.25,0.75,1.0,1.0,4.0,"Chỉ thấy 1 CV (UX/UI Designer) nên chưa đạt yêu cầu 02 CV cho 02 vị trí khác nhau. CV có thông tin cá nhân/học vấn/kỹ năng/hoạt động, nhưng thiếu phần dự án/kinh nghiệm cụ thể và còn nhiều lỗi OCR/chính tả. Mapping theo JD chưa rõ (chưa nêu công cụ/qui trình UX, sản phẩm đã làm, thành tựu/số liệu). Trình bày chia mục ổn nhưng còn ký tự rối; mục tiêu nghề nghiệp có nhưng dài và hơi chung chung."
S0021,1.5,2.0,2.0,1.5,1.0,8.0,"Có 2 CV cho 2 vị trí (E-commerce Sales và Digital Marketing) với mục tiêu khá rõ, nội dung cơ bản đầy đủ. Tuy nhiên phần liên kết theo JD còn chung chung, thiếu số liệu/đầu ra và format trích xuất còn hơi rối nên cần tinh gọn và nêu thành tựu cụ thể hơn."
S0022,1.5,1.75,2.25,1.5,1.25,8.5,"Có 2 CV cho 2 vị trí khác nhau, nội dung nhìn chung đầy đủ và có tùy biến theo vị trí. Tuy nhiên phần mapping theo JD còn chưa thật cụ thể/định lượng ở CV TMĐT và nên bổ sung link LinkedIn/portfolio, tối ưu câu chữ gọn hơn."
S0023,0.0,1.0,0.5,1.25,1.0,4.0,Bài nộp hiện chỉ có 1 CV cho Digital Marketing nên chưa đạt yêu cầu 2 CV/2 vị trí. Nội dung khá đầy đủ nhưng còn placeholder và một số thông tin/diễn đạt chưa hợp lý; mức độ tùy biến theo JD và số liệu thành tựu chưa rõ.
S0024,1.5,1.25,1.5,1.5,1.0,7.0,"Có 2 CV cho 2 vị trí khác nhau, CV TMĐT có kinh nghiệm và số liệu khá tốt. Tuy nhiên CV IT Helpdesk còn thiếu nhiều mục quan trọng (kinh nghiệm/dự án/chứng chỉ) và cả hai CV mục tiêu dài, chưa thật sự gọn và bám JD."
S0025,1.5,1.5,2.0,1.5,1.25,8.0,"Có 2 CV cho 2 vị trí khác nhau (Data Analyst và Quản lý sàn TMĐT), mục tiêu nghề nghiệp phù hợp. Tuy nhiên một số phần còn thiếu/khá chung chung và cần chuẩn hóa trình bày, bổ sung liên kết/portfolio và làm rõ hơn các thành tựu, số liệu theo yêu cầu JD."
S0026,1.5,1.5,1.5,1.0,1.0,6.5,"Có đủ 02 CV cho 02 vị trí khác nhau (Data Analyst và UX/UI). Nội dung cơ bản khá đầy đủ (thông tin liên hệ, học vấn, kỹ năng, kinh nghiệm/dự án, chứng chỉ/hoạt động) nhưng còn nhiều lỗi chính tả/ dấu và một số đoạn trình bày thiếu chuẩn, gây giảm độ tin cậy. Mapping theo JD mới ở mức nêu kỹ năng/công cụ chung (SQL/Python/BI; Figma/Adobe XD...) nhưng thiếu thành tựu định lượng/đầu ra cụ thể theo yêu cầu từng vị trí. Format nhìn tạm ổn nhưng chưa nhất quán, còn rối do OCR/lỗi gõ. Mục tiêu nghề nghiệp có nhưng còn dài và sáo/thiếu cụ thể hóa giá trị, tuy CV UX/UI có nhắc % đúng hạn nhưng cần gắn rõ kết quả/impact."
S0027,1.5,1.5,2.25,1.5,1.25,8.0,"Có đủ 2 CV cho 2 vị trí khác nhau và nội dung khá đầy đủ. Tuy nhiên phần tuỳ biến theo JD/đầu ra còn chưa thật sắc nét và có một số lỗi trình bày/thông tin (mốc thời gian, email hiển thị) cần chỉnh để chuyên nghiệp hơn."
S0028,1.5,1.5,2.25,1.5,1.25,8.0,"Có đủ 2 CV cho 2 vị trí (Digital Marketing và Phân tích dữ liệu) và mục tiêu nghề nghiệp tương đối rõ. Tuy nhiên còn lỗi thông tin/diễn đạt (ngày sinh không nhất quán, email bị lỗi hiển thị) và phần thành tựu/số liệu + tuỳ biến theo JD chưa nổi bật."
S0029,1.5,1.5,1.25,1.5,1.0,7.0,"Có đủ 2 CV cho 2 vị trí khác nhau và thông tin nền tảng khá đầy đủ (học vấn, kỹ năng, hoạt động/chứng chỉ). Tuy nhiên CV còn chung chung, thiếu số liệu/đầu ra và phần mô tả thành tựu để thể hiện mức độ khớp JD; có vài lỗi chính tả/diễn đạt (ví dụ “Makerting”)."
S0030,1.5,1.75,2.25,1.5,1.25,8.5,"Có 2 CV cho 2 vị trí (UX/UI Design và Phát triển web TMĐT) với nội dung nền tảng khá đầy đủ, trình bày tương đối chuyên nghiệp. Tuy nhiên mapping theo JD và thành tựu/số liệu còn chung chung, cần bổ sung kết quả đo lường và tùy biến rõ hơn theo từng yêu cầu công việc."
S0031,1.0,1.0,0.5,1.25,1.0,5.0,"Có 2 CV nhưng hai vị trí còn khá gần nhau và nội dung chưa khác biệt rõ; thiếu phần dự án/kinh nghiệm/hoạt động nên CV còn mỏng. Mục tiêu có nhưng còn chung chung, chưa tùy biến theo JD và chưa có số liệu/đầu ra cụ thể."
S0032,1.5,1.5,2.5,1.5,1.25,8.5,"Có 2 CV tách biệt cho 2 vị trí rõ (Web/E-commerce và SEO/Content). Nội dung khá đầy đủ, có kỹ năng/công cụ và một số số liệu (traffic, bounce rate, load time) nên mapping với JD tương đối tốt; tuy nhiên còn thiếu/ít thông tin liên kết (LinkedIn/portfolio), một số chỗ diễn đạt/lỗi OCR và mốc thời gian kinh nghiệm ở CV1 (2027) gây thiếu nhất quán. Trình bày nhìn chung ổn nhưng cần chuẩn hoá format và làm mục tiêu/ngôn ngữ gọn, cụ thể hơn theo từng JD."
S0033,1.5,1.5,1.0,1.25,1.0,6.5,"Có đủ 2 CV cho 2 vị trí (phân tích dữ liệu và kinh doanh online) với mục tiêu/skill tương ứng. Tuy nhiên nội dung còn chung chung, thiếu phần kinh nghiệm/thành tựu có số liệu và mapping theo JD chưa rõ, trình bày còn nhiều lỗi spacing/ký tự."
S0034,1.0,1.25,1.5,1.25,1.0,6.0,"Có 2 CV cho 2 hướng (Digital Marketing Specialist và CV còn lại thiên Data/Analytics) nhưng CV 1 title/mục tiêu chưa làm rõ vị trí. Nội dung cơ bản khá đủ (học vấn/kỹ năng/khóa học) nhưng thiếu/không rõ một số thông tin liên hệ & link, nhiều lỗi OCR/chính tả. Mapping theo JD mới dừng ở liệt kê kỹ năng, hầu như chưa có thành tựu/số liệu/impact. Trình bày nhìn theo mẫu nhưng chưa nhất quán, cần chuẩn hóa font/spacing và bổ sung link LinkedIn/portfolio. Mục tiêu nghề nghiệp có nhưng còn chung chung, nên viết gọn và cụ thể hơn theo từng vị trí."
S0035,1.5,2.0,1.5,1.5,1.25,8.0,"Có đủ 2 CV cho 2 vị trí khác nhau và nội dung cơ bản khá đầy đủ, trình bày nhìn chung ổn. Tuy nhiên CV còn khá chung chung, thiếu số liệu/impact và chưa thể hiện rõ mức độ đáp ứng từng yêu cầu JD (thành tựu, công cụ/kỹ năng gắn với đầu ra cụ thể)."
S0036,1.5,1.25,1.5,1.25,1.0,6.5,"Có 2 CV cho 2 vị trí khác nhau và mục tiêu nghề nghiệp khá rõ, tuy nhiên nội dung còn nhiều chỗ để placeholder/thiếu thông tin thực (GPA, dự án, tên CLB/khóa học) và mapping theo JD chưa cụ thể (thiếu thành tựu, số liệu, minh chứng). Cần bổ sung dự án/kinh nghiệm thực tế, link LinkedIn/portfolio và lượng hóa kết quả để CV thuyết phục hơn."
S0037,0.0,1.25,1.25,1.25,0.75,4.5,"CV hiện chỉ có 1 bản nên chưa đạt yêu cầu 02 CV cho 02 vị trí. Nội dung có nền tảng và có điểm mạnh là nêu được kết quả tăng doanh thu 30% trên Shopee, nhưng còn thiếu mục tiêu nghề nghiệp rõ ràng và thông tin kinh nghiệm/thời gian chưa hợp lý (mốc 2030–2034)."
S0038,1.5,1.5,1.5,1.5,1.0,7.0,"Có 2 CV cho 2 vị trí khác nhau và mục tiêu nghề nghiệp rõ, bố cục nhìn chung ổn. Tuy nhiên nội dung còn chung chung, thiếu minh chứng/kết quả định lượng và liên kết theo yêu cầu JD chưa cụ thể."
S0039,0.0,1.0,0.5,0.75,0.75,3.0,"Bài chỉ có 1 CV nên chưa đúng yêu cầu 2 vị trí. Nội dung cơ bản có nhưng thiếu nhiều mục quan trọng (kỹ năng, dự án/kinh nghiệm cụ thể, thành tựu/số liệu) và mức độ tùy biến theo JD còn chung chung."
S0040,1.5,1.75,2.25,1.5,1.0,8.0,"Có 2 CV cho 2 vị trí khác nhau và nội dung nền tảng khá đầy đủ. Tuy nhiên mức độ tuỳ biến theo JD và số liệu/đầu ra (đặc biệt ở CV Digital Marketing) còn ít, format và câu chữ còn vài chỗ chưa gọn/chưa nhất quán."
S0041,1.5,1.5,1.5,1.5,1.0,7.0,"Có 2 CV tách riêng cho 2 vị trí (Content & SEO Specialist và Mobile Developer) với cấu trúc cơ bản tương đối đầy đủ, trình bày ổn. Tuy nhiên nội dung còn khá chung chung, mapping theo JD chưa cụ thể (thiếu thành tựu/số liệu ở phần kinh nghiệm, dự án còn sơ sài) và mục tiêu nghề nghiệp chưa thể hiện rõ."
S0042,1.5,1.25,2.25,1.25,0.75,7.0,"Có 2 CV cho 2 vị trí khác nhau, nội dung kỹ năng/dự án khá phù hợp và có nêu kết quả. Tuy nhiên thiếu thông tin liên hệ/một số mục quan trọng và phần mục tiêu nghề nghiệp chưa rõ; thời gian kinh nghiệm có điểm chưa hợp lý."
S0043,1.5,1.5,2.25,1.25,1.0,7.5,"Có đủ 2 CV cho 2 vị trí khác nhau, nội dung và kỹ năng khá phù hợp và có một số số liệu kết quả. Tuy nhiên format/encoding còn lỗi và một vài mục còn thiếu hoặc diễn đạt còn chung chung."
S0044,1.5,1.5,2.0,1.0,1.0,7.0,"Có đủ 2 CV cho 2 vị trí khác nhau và có dự án/hoạt động khá đa dạng. Tuy nhiên nội dung còn lẫn giữa 2 hướng (mục tiêu/kỹ năng chưa nhất quán), phần tuỳ biến theo JD và trình bày ở CV Web còn rối nên cần chỉnh gọn và tập trung hơn."
S0045,1.5,1.25,1.5,1.5,1.0,7.0,"Có đủ 2 CV cho 2 vị trí (Data Analyst và NV vận hành sàn TMĐT) và nội dung khá đầy đủ. Tuy nhiên còn nhiều chỗ chung chung/thiếu số liệu thành tựu, và có vài thông tin mốc thời gian/học vấn chưa nhất quán nên mức độ thuyết phục và mapping theo yêu cầu công việc chưa cao."
S0046,1.5,1.5,2.0,1.5,1.0,7.5,"Có đủ 2 CV cho 2 vị trí khác nhau và nội dung cơ bản khá đầy đủ. Tuy nhiên mapping theo JD còn chung chung/thiếu số liệu, trình bày còn lỗi (ký tự/spacing) và mục tiêu nghề nghiệp hơi dài, sáo rỗng."
S0047,1.5,1.5,2.0,1.5,1.0,7.5,"Có 2 CV cho 2 vị trí (E-commerce Web Developer và UX/UI) khá rõ, nội dung nền tảng đầy đủ và có 1 điểm nhấn số liệu (tối ưu tốc độ 30%). Tuy nhiên mức độ bám theo JD/đầu ra còn chung chung và phần trình bày/câu chữ còn dài, chưa thật gọn và nhất quán."
S0048,1.0,1.5,1.25,1.25,0.75,6.0,"Có 2 CV nhưng khác biệt chưa nhiều (Digital Marketing vs Social Media) và phần mục tiêu còn lệch so với vị trí ứng tuyển. Nội dung cơ bản khá đầy đủ nhưng thiếu số liệu/thành tựu cụ thể và trình bày còn hơi rối, chưa thể hiện rõ mức độ match theo từng yêu cầu JD."
S0049,1.5,1.75,2.25,1.5,1.25,8.5,"Có 2 CV tách biệt và nêu rõ 2 vị trí (UX/UI Website và Quản lý sàn TMĐT), nội dung nhìn chung đầy đủ và trình bày khá ổn. Tuy nhiên mapping theo JD còn chung chung, thiếu số liệu/đầu ra cụ thể ở nhiều mục và còn một số lỗi trình bày/diễn đạt (đặc biệt bản trích xuất có lỗi xuống dòng/giãn cách)."
S0050,1.5,1.5,2.0,1.5,1.0,7.5,"Có 2 CV tách biệt cho Content-SEO Specialist và Web Developer, thể hiện mục tiêu nghề nghiệp đúng hướng. Nội dung khá đầy đủ và có một số số liệu (like, view, follow, traffic) nhưng mapping theo JD chưa thật rõ ràng/đồng bộ và trình bày còn lỗi spacing/format, mục tiêu nghề nghiệp còn chung."
S0051,0.0,0.75,0.5,1.0,0.75,3.0,"Bài hiện chỉ có 1 CV cho 1 vị trí (E-commerce Web Developer) nên chưa đạt yêu cầu 2 CV/2 vị trí. Nội dung còn thiếu nhiều mục quan trọng (dự án/kinh nghiệm, hoạt động) và mức độ tuỳ biến theo JD chưa rõ, cần bổ sung thành tựu/số liệu và hoàn thiện trình bày."
S0052,1.5,1.5,1.5,1.25,1.0,7.0,"Có 2 CV cho 2 vị trí khác nhau và nội dung nền tảng khá đầy đủ, nhưng phần dự án/kinh nghiệm còn chung chung, ít số liệu và chưa thể hiện rõ mức độ khớp theo từng yêu cầu JD. Trình bày dùng template ổn nhưng còn lỗi/thiếu nhất quán và một số mốc thời gian/diễn đạt chưa thuyết phục."
S0053,1.5,1.75,2.25,1.5,1.0,8.0,"Có 2 CV tách biệt rõ cho Digital Marketing và Data Analyst, nội dung cơ bản khá đầy đủ. Tuy nhiên mapping theo JD và số liệu/impact còn ít, mục tiêu nghề nghiệp còn hơi chung chung và nên bổ sung/chuẩn hóa link (LinkedIn/portfolio) để chuyên nghiệp hơn."
S0054,1.5,1.5,1.5,1.0,1.0,6.5,"Có 2 CV tách biệt cho 2 vị trí (Digital Marketing và E-commerce Web Developer) với mục tiêu nghề nghiệp rõ. Tuy nhiên nội dung còn thiếu/ít chi tiết (dự án, công cụ, công nghệ) và mapping theo JD chưa cụ thể, trình bày text trích xuất cho thấy format/spacing chưa chuyên nghiệp và thiếu số liệu kết quả."
S0055,1.5,1.5,1.5,1.5,1.0,7.0,"Có 2 CV cho 2 vị trí khác nhau, CV Digital Marketing khá đầy đủ nhưng còn thiếu số liệu/đầu ra và có mốc thời gian chưa hợp lý. CV Quản lí sàn TMĐT còn chung chung, thiếu phần kinh nghiệm/dự án và nội dung chưa bám rõ yêu cầu vị trí."
S0056,1.5,1.25,2.25,1.25,1.0,7.5,"Có 2 CV cho 2 vị trí khác nhau (Digital Marketing Specialist và E-commerce Web Developer) thể hiện khá rõ. Nội dung cơ bản tương đối đủ (thông tin cá nhân/kỹ năng/học vấn/kinh nghiệm/dự án) nhưng có nhiều lỗi chính tả/OCR và đặc biệt thông tin cá nhân không nhất quán giữa 2 CV (ngày sinh/sđt). Mức độ tùy biến theo yêu cầu công việc khá ổn, có nêu công cụ và 1-2 số liệu (traffic +40%, open rate 25%) nhưng còn thiếu impact/đầu ra cụ thể cho phần web dev. Trình bày nhìn chung theo mẫu nhưng còn rối/thiếu nhất quán và cần chuẩn hóa lại. Mục tiêu nghề nghiệp có nhưng còn chung chung, câu chữ chưa gọn và đôi chỗ khó hiểu do lỗi diễn đạt."
S0057,1.5,1.25,1.25,1.5,1.0,6.5,"Có 2 CV cho 2 vị trí khác nhau, mục tiêu và kỹ năng nêu đúng hướng. Tuy nhiên thiếu phần dự án/kinh nghiệm và các thành tựu có số liệu nên mức độ khớp JD và sức thuyết phục chưa cao."
S0058,1.5,1.5,1.5,1.5,1.0,7.0,"Có 2 CV tách biệt và nêu rõ 2 vị trí (Digital Marketing, Quản lý sàn TMĐT). Tuy nhiên nội dung còn chung chung, thiếu số liệu/đầu ra và phần kinh nghiệm/dự án chưa mô tả impact rõ; trình bày còn lỗi dính chữ/format ở CV quản lý sàn."
S0059,1.5,1.5,1.25,1.5,1.0,7.0,"Có 2 CV tách biệt, nêu rõ 2 vị trí (Digital Marketing Specialist và Quản lý sàn TMĐT). Tuy nhiên nội dung còn thiếu phần kinh nghiệm/dự án cụ thể và thành tựu/đo lường (KPI, số liệu) nên mapping với JD chưa thuyết phục; chủ yếu mới liệt kê kỹ năng/chứng chỉ và mục tiêu chung. Trình bày nhìn chung ổn nhưng có lỗi OCR/chính tả/format nhẹ và thiếu link LinkedIn/portfolio; mục tiêu nghề nghiệp rõ hơn nếu viết ngắn gọn, cụ thể theo từng vị trí."
S0060,1.5,1.75,2.5,1.75,1.25,9.0,"Có đủ 2 CV cho 2 vị trí khác nhau, nội dung khá đầy đủ và trình bày nhìn chung chuyên nghiệp. Tuy nhiên phần tuỳ biến theo JD còn chưa thật cụ thể/đủ minh chứng (đặc biệt thiếu chi tiết đầu ra ở một số mục) và mục tiêu nghề nghiệp còn hơi chung."
S0061,1.5,1.5,1.5,1.5,1.0,7.0,"Có 2 CV cho 2 hướng (E-commerce Platform Manager và Marketing/Ads/SEO) thể hiện khá rõ, nội dung nền tảng tương đối đầy đủ. Tuy nhiên CV còn thiếu phần kinh nghiệm/dự án cụ thể cho vị trí marketing, ít số liệu/impact và trình bày bị lỗi tách chữ/ký tự nên mức độ chuyên nghiệp và thông điệp nghề nghiệp chưa nổi bật."
S0062,1.5,1.5,1.0,1.5,1.0,6.5,"Có đủ 2 CV cho 2 vị trí khác nhau (E-commerce Platform Manager và Web Developer) và mục tiêu có nêu đúng hướng. Tuy nhiên nội dung còn thiếu phần dự án/kinh nghiệm/hoạt động cụ thể, chưa có link LinkedIn/portfolio, và nhiều kỹ năng/chứng chỉ mô tả chung chung (chưa gắn JD theo từng yêu cầu, chưa có số liệu/impact). Format nhìn ổn nhưng còn lỗi OCR/chính tả và tính nhất quán trình bày chưa cao; mục tiêu nghề nghiệp còn dài và hơi sáo rỗng."
S0063,0.0,1.0,0.5,1.0,0.5,3.0,"Bài chỉ có 1 CV cho vị trí sale nên chưa đúng yêu cầu 02 CV/02 vị trí. Nội dung cơ bản có nhưng còn thiếu/ghi chưa rõ (học vấn thời gian bất hợp lý, kinh nghiệm & thành tựu chưa cụ thể và gần như chưa mapping theo JD), cần chỉnh lại format và mục tiêu nghề nghiệp cho rõ ràng hơn."
S0064,1.5,1.5,1.75,1.25,1.0,7.0,"Có 2 CV cho 2 vị trí khác nhau khá rõ, nội dung cơ bản tương đối đầy đủ. Tuy nhiên CV còn chung chung, ít số liệu/đầu ra để chứng minh mức độ khớp JD và phần trình bày/text bị lỗi, mục tiêu nghề nghiệp còn dài và chưa thật cụ thể."
S0065,0.0,1.5,1.0,1.0,1.0,4.5,"Bài hiện chỉ thấy 1 CV nên chưa đạt yêu cầu 2 vị trí. Nội dung và mục tiêu có nhưng còn lỗi chính tả/định dạng, LinkedIn chưa hoàn chỉnh và chưa thể hiện rõ tuỳ biến theo JD (thiếu thành tựu/số liệu cụ thể)."
S0066,1.5,1.5,2.0,1.5,1.25,8.0,"Có 2 CV tách biệt và bám đúng 2 vị trí (Content&SEO và E-commerce Sales), nội dung cơ bản khá đầy đủ. Tuy nhiên mapping theo JD còn chung chung, thiếu số liệu/impact và CV còn lỗi trình bày/chính tả (ký tự bị tách, placeholder [Tên ngành học]) nên chưa thật sự chuyên nghiệp."
S0067,0.0,1.0,0.5,0.5,1.0,3.0,"Bài nộp hiện chỉ thấy 1 CV cho vị trí Chuyên viên Kinh doanh trực tuyến, thiếu CV thứ hai theo yêu cầu. Nội dung có các mục cơ bản nhưng còn rối/thiếu nhất quán và phần kinh nghiệm chưa làm rõ thành tựu, số liệu và mức độ khớp theo JD."
S0068,1.5,1.5,2.0,1.75,1.25,8.0,"Có 2 CV tách biệt rõ cho Data Analyst và Digital Marketing, nội dung nền tảng khá đầy đủ và trình bày ổn. Tuy nhiên mức độ “mapping” theo JD còn chung chung, thiếu dự án/thành tựu kèm số liệu và chưa có link portfolio/LinkedIn để tăng độ thuyết phục."
S0069,1.5,1.75,2.25,1.5,1.0,8.0,"Có đủ 2 CV cho 2 vị trí khác nhau và nội dung nền tảng khá đầy đủ. Tuy nhiên mapping theo JD còn chung chung/thiếu số liệu thành tựu rõ ràng ở phần kinh nghiệm và mục tiêu nghề nghiệp chưa thật sắc nét, format còn một số lỗi dấu/spacing do trích xuất."
S0070,1.0,1.5,0.5,1.0,1.0,5.0,"Có nộp 2 CV nhưng nội dung gần như trùng nhau, chưa thể hiện rõ khác biệt theo từng vị trí và chưa mapping theo JD. Thông tin cơ bản khá đầy đủ nhưng còn chung chung, thiếu số liệu/đầu ra và trình bày còn lộn xộn ở một số phần."
S0071,1.0,0.5,0.0,0.5,0.5,2.5,"Có 2 bản CV nhưng khác biệt rất ít và vị trí chưa thể hiện rõ. Nội dung thiếu nhiều mục quan trọng (thông tin liên hệ, học vấn/kinh nghiệm/dự án chi tiết, kỹ năng cụ thể), nhiều lỗi diễn đạt/chính tả do OCR. Hầu như không có tuỳ biến theo JD và không nêu thành tựu/số liệu. Trình bày chưa chuyên nghiệp, thông điệp/mục tiêu nghề nghiệp còn mơ hồ."
S0072,1.5,2.0,2.5,1.5,1.25,9.0,"Có đủ 2 CV cho 2 vị trí khác nhau, nội dung khá đầy đủ và có một số số liệu/impact. Tuy nhiên mapping theo từng yêu cầu JD chưa thật cụ thể và phần trình bày/format chưa thể hiện rõ tính tối ưu, nhất quán như một CV chuẩn."
S0073,0.0,1.5,1.5,1.25,1.25,5.5,"Bài hiện chỉ thấy 1 CV nên chưa đạt yêu cầu 2 CV cho 2 vị trí khác nhau. Nội dung và mục tiêu UX/UI khá đầy đủ nhưng phần tuỳ biến theo JD và số liệu/impact còn thiếu, trình bày cần gọn và nhất quán hơn."
S0074,1.0,1.25,1.5,1.25,0.75,6.0,"Có đủ 2 CV cho 2 vị trí khác nhau nhưng nội dung/định hướng còn khá giống nhau và mục tiêu nghề nghiệp chung chung. Thông tin và trải nghiệm có nêu được một vài kết quả (KPI +10%) nhưng còn thiếu/để trống một số mục, lỗi trình bày và mốc thời gian chưa nhất quán."
