MSSV,TC1(/1.5),TC2(/2),TC3(/2.5),TC4(/2),TC5(/2),Tổng(/10),Nhận xét ngắn
S0013,1.0,0.0,1.5,0.0,1.0,3.5,"Bài chọn đủ 2 vị trí và có mô tả/nội dung khảo sát, kèm một số tổng hợp kỹ năng và mức lương. Tuy nhiên thiếu JD cụ thể (link/công ty/ngày), phân tích chưa theo cấu trúc hướng dẫn và chưa đối chiếu CTĐT UIT để chỉ ra gap rõ ràng."
S0014,1.25,0.0,1.5,0.0,1.0,4.0,"Bài chọn 2 vị trí phù hợp và có mô tả/yêu cầu khá rõ, phân tích kỹ năng theo nhóm tương đối ổn và có bổ sung lương/xu hướng. Tuy nhiên thiếu hoàn toàn JD/nguồn tuyển dụng (link, công ty, ngày truy cập) và chưa đối chiếu với CTĐT UIT để chỉ ra gap/kế hoạch bù cụ thể theo học phần."
S0015,1.0,0.0,0.5,0.0,0.5,2.0,"Bài chọn được 2 vị trí nhưng thiếu giải thích vì sao phù hợp và không có JD/nguồn tuyển dụng cụ thể. Nội dung còn chung chung, chưa phân tích theo từng vị trí và chưa đối chiếu CTĐT UIT để nêu gap/kế hoạch bù."
S0016,1.25,0.0,1.5,0.0,0.75,3.5,"Bài chọn đúng 2 vị trí và có phân tích/nhóm kỹ năng ở mức cơ bản, kèm một số thông tin lương/xu hướng. Tuy nhiên thiếu JD cụ thể (link/nguồn/ngày), chưa đối chiếu với CTĐT UIT và phần bổ sung còn thiếu nguồn dẫn."
S0017,1.25,0.0,1.25,0.0,0.5,3.0,"Bài chọn đủ 2 vị trí khá phù hợp và có mô tả nhiệm vụ, có tổng hợp kỹ năng và mức lương tham khảo. Tuy nhiên thiếu JD/nguồn tuyển dụng cụ thể (link/công ty/ngày), chưa đối chiếu CTĐT UIT và phần phân tích/tổng hợp còn chung chung."
S0018,1.0,1.25,1.5,0.5,1.25,5.5,"Bài chọn đúng 2 vị trí và có tổng hợp yêu cầu/xu hướng, nhưng phần JD/nguồn còn thiếu chuẩn (trùng link, thiếu ngày truy cập, nhiều link dạng trang tìm kiếm) và phân tích còn khá chung chung. Chưa đối chiếu rõ với các học phần/hoạt động cụ thể trong CTĐT UIT nên tiêu chí khoảng trống kỹ năng bị trừ nhiều."
S0019,1.25,0.5,1.75,0.5,1.25,5.5,"Bài chọn đủ 2 vị trí và có phân tích/đánh giá bản thân, nêu xu hướng và mức lương. Tuy nhiên thiếu nguồn/JD có link cụ thể và phần đối chiếu với CTĐT UIT (học phần/hoạt động) còn chưa thực hiện rõ."
S0020,1.25,0.5,1.5,0.75,0.75,5.0,"Bài chọn đủ 2 vị trí và có tổng hợp kỹ năng, có nhắc lương nhưng thiếu nguồn/JD có link, công ty, ngày truy cập. Phần đối chiếu CTĐT UIT và phân tích theo cấu trúc (hard/soft/tools, điểm chung/khác) còn chung chung nên điểm chưa cao."
S0021,1.0,0.5,1.5,0.0,1.0,4.0,"Bài chọn đủ 2 vị trí và có thống kê/tổng hợp yêu cầu, lương và xu hướng ở mức cơ bản. Tuy nhiên thiếu JD cụ thể kèm link/công ty/ngày truy cập và chưa đối chiếu với CTĐT UIT để xác định gap kỹ năng."
S0022,1.0,1.25,1.0,0.25,1.0,4.5,"Bài chọn đúng 2 vị trí và thu thập khá nhiều JD, có nhắc lương ở một số nguồn. Tuy nhiên thiếu link/ngày truy cập, phần phân tích & đối chiếu CTĐT UIT còn chung chung, chưa tổng hợp rõ điểm chung/khác và gap cụ thể."
S0023,1.25,1.25,1.25,0.5,1.25,5.5,"Bài làm chọn đủ 2 vị trí và có thu thập mô tả tuyển dụng từ nhiều nguồn, kèm một số phân tích và xu hướng. Tuy nhiên thiếu link/công ty/ngày truy cập cho JD, phân tích còn thiên liệt kê và chưa đối chiếu rõ với CTĐT UIT để xác định gap/kế hoạch bù cụ thể."
S0024,1.0,1.0,1.5,0.5,0.5,4.5,"Bài chọn đủ 2 vị trí và có tổng hợp một số yêu cầu kỹ năng/tần suất, nhưng nguồn JD thiếu link/ngày truy cập và phần phân tích còn thiên liệt kê. Chưa đối chiếu cụ thể với CTĐT UIT và phần khảo sát bổ sung (lộ trình/chứng chỉ/portfolio/xu hướng kèm nguồn) còn thiếu."
S0025,1.0,0.0,1.25,0.0,0.75,3.0,Bài có chọn 2 vị trí nhưng phần khảo sát/phân tích chủ yếu chỉ tập trung vào vị trí Quản lý sàn TMĐT; thiếu JD/link nguồn tuyển dụng cụ thể nên độ tin cậy thấp. Có tổng hợp kỹ năng và mức lương ở mức cơ bản nhưng chưa đối chiếu CTĐT UIT và chưa nêu nguồn cho dữ liệu bổ sung.
S0026,1.0,0.0,1.5,0.0,0.75,3.5,"Bài có nêu 2 vị trí (Digital Marketing, Data Analyst) và có liệt kê/nhóm kỹ năng kèm số lần xuất hiện, nhưng thiếu JD cụ thể (link/công ty/ngày) và chưa đối chiếu CTĐT UIT để chỉ ra gap. Phần lương có đề cập nhưng chưa có nguồn và kết luận còn chung chung."
S0027,1.25,0.0,1.25,0.0,1.0,3.5,"Em chọn đúng 2 vị trí khá phù hợp và có mô tả kỹ năng/mức lương cơ bản, nhưng thiếu phần JD/nguồn tuyển dụng (link, công ty, ngày truy cập) và chưa đối chiếu CTĐT UIT để chỉ ra gap/kế hoạch bù cụ thể."
S0028,1.25,0.0,2.0,0.75,1.0,5.0,"Bài chọn đúng 2 vị trí và có phân tích kỹ năng/xu hướng khá rõ, có tổng hợp và ví dụ công cụ. Tuy nhiên thiếu JD cụ thể kèm link/công ty/ngày truy cập và chưa đối chiếu rõ với học phần CTĐT UIT (mới dừng ở tự đánh giá và kế hoạch chung)."
S0029,1.0,0.0,1.5,0.5,1.0,4.0,"Bài chọn đủ 2 vị trí và có tổng hợp yêu cầu/xu hướng, kèm mức lương; tuy nhiên thiếu JD cụ thể có link/công ty/ngày truy cập. Phần đối chiếu với CTĐT UIT gần như chưa có, mới dừng ở tự đánh giá gap và kế hoạch chung."
S0030,1.0,0.5,1.25,0.0,0.75,3.5,"Bài chọn đủ 2 vị trí và có tổng hợp kỹ năng/tần suất yêu cầu, nhưng JD thiếu nguồn cụ thể (link/ngày truy cập) và phân tích chưa theo cấu trúc hướng dẫn. Chưa đối chiếu với CTĐT UIT để nêu gap; phần bổ sung (lương/xu hướng/chứng chỉ/portfolio) còn ít và thiếu dẫn nguồn."
S0031,1.0,0.0,1.5,0.5,1.0,4.0,"Bài chọn đúng 2 vị trí và có mô tả/khảo sát theo hướng quy trình, có nêu kỹ năng và một số thông tin lương/chứng chỉ. Tuy nhiên chưa cung cấp JD cụ thể (link/công ty/ngày truy cập) và phần đối chiếu với CTĐT UIT + xác định gap còn chung chung, thiếu chỉ rõ học phần/hoạt động tương ứng."
S0032,1.25,1.0,1.75,0.0,1.25,5.5,"Bài chọn đủ 2 vị trí và có phân tích yêu cầu khá chi tiết, kèm bảng khảo sát và thông tin lương. Tuy nhiên thiếu JD có nguồn/link/ngày truy cập và chưa đối chiếu cụ thể với CTĐT UIT để chỉ ra gap kỹ năng theo học phần."
S0033,1.0,0.5,1.5,0.5,1.0,4.5,"Bài chọn đúng 2 vị trí và có tổng hợp kỹ năng/yêu cầu kèm tần suất, có nhắc mức lương và kế hoạch học thêm. Tuy nhiên thiếu JD có link/công ty/ngày truy cập, phân tích còn thiên về liệt kê và chưa đối chiếu cụ thể với CTĐT UIT."
S0034,0.0,0.5,1.5,0.0,0.75,3.0,Bài làm mới khảo sát 1 vị trí (Data Analyst) và phần JD thiếu link/ngày truy cập nên chưa đạt yêu cầu đề bài. Có phân tích kỹ năng/xu hướng ở mức cơ bản nhưng chưa đối chiếu cụ thể với CTĐT UIT và phần bổ sung (lương/chứng chỉ/portfolio) còn thiếu nguồn.
S0035,1.0,0.5,0.75,0.0,0.5,3.0,"Bài có chọn 2 vị trí nhưng phần khảo sát chủ yếu mới làm cho vị trí Web Developer; JD thiếu link/nguồn/ngày truy cập và phân tích còn liệt kê, chưa đối chiếu CTĐT UIT để nêu gap. Cần bổ sung đầy đủ khảo sát cho vị trí còn lại và phần tổng hợp/nguồn dữ liệu."
S0036,1.0,1.0,1.25,0.0,1.0,4.5,"Bài có chọn 2 vị trí và thu thập được nhiều thông tin tuyển dụng, có nêu xu hướng và kế hoạch tự bù kỹ năng. Tuy nhiên phần JD thiếu link/ngày truy cập, phân tích còn thiên về liệt kê và chưa đối chiếu rõ với CTĐT UIT cũng như chưa phân tích đầy đủ cho cả 2 vị trí."
S0037,1.25,0.0,1.75,0.0,1.0,4.0,"Bài chọn 2 vị trí phù hợp và có phân tích yêu cầu/xu hướng khá chi tiết, kèm tự đánh giá và kế hoạch học. Tuy nhiên thiếu JD/nguồn tuyển dụng có link và chưa đối chiếu với CTĐT UIT (học phần/hoạt động) để xác định gap."
S0038,1.0,0.0,1.5,0.0,1.0,3.5,"Bài chọn đủ 2 vị trí và có tổng hợp yêu cầu/kỹ năng khá rõ, có thống kê tần suất. Tuy nhiên thiếu JD kèm nguồn/link cụ thể cho từng vị trí và chưa đối chiếu với CTĐT UIT để nêu gap; phần bổ sung (lương/công ty) còn thiếu trích nguồn."
S0039,0.0,1.0,1.25,0.5,0.75,3.5,"Bài thu thập nhiều tin tuyển dụng cho 1 vị trí nhưng chưa chọn đủ 2 vị trí theo yêu cầu và thiếu link/ngày truy cập nguồn. Phần phân tích và đối chiếu CTĐT UIT còn chung chung, cần cấu trúc rõ hard/soft/tools và nêu gap kèm kế hoạch cụ thể hơn."
S0040,1.0,0.0,1.0,0.5,1.0,3.5,"Bài chọn đúng 2 vị trí và có liệt kê kỹ năng/kế hoạch học thêm, có đề cập lương và xu hướng chung. Tuy nhiên thiếu JD cụ thể (link/công ty/ngày), phân tích chưa theo cấu trúc và chưa đối chiếu rõ với các học phần/hoạt động của UIT."
S0041,1.25,0.5,1.5,0.25,1.0,4.5,"Bài chọn 2 vị trí phù hợp và có tổng hợp yêu cầu/xu hướng khá nhiều, nhưng thiếu JD cụ thể (link/công ty/ngày truy cập) và phần đối chiếu rõ với CTĐT UIT để chỉ ra gap. Cần bổ sung nguồn minh chứng và kế hoạch bù kỹ năng cụ thể gắn với học phần/hoạt động tại UIT."
S0042,1.0,0.0,1.25,0.0,1.0,3.5,"Bài có nêu nhiều thông tin kỹ năng/xu hướng và mức lương, nhưng thiếu JD cụ thể (link/nguồn/ngày truy cập) và chưa đối chiếu với CTĐT UIT để xác định gap. Phần phân tích còn mang tính mô tả theo mẫu, chưa tổng hợp điểm chung/khác theo đúng 2 vị trí đã chọn."
S0043,0.75,0.0,0.75,0.0,0.75,2.5,Bài có tổng hợp nhiều vị trí và mô tả kỹ năng/mức lương khá đầy đủ nhưng chưa bám yêu cầu khảo sát 2 vị trí với JD có nguồn/link rõ ràng và chưa đối chiếu CTĐT UIT để chỉ ra gap/kế hoạch bù.
S0044,1.5,1.5,2.0,1.0,1.25,7.5,"Bài làm chọn đúng 2 vị trí và có thu thập nhiều tin tuyển dụng kèm mức lương, đồng thời có phần tổng hợp/xu hướng kỹ năng. Tuy nhiên nguồn JD còn thiếu thông tin ngày truy cập/link đầy đủ và phần đối chiếu với CTĐT UIT chưa nêu rõ học phần cụ thể và gap/kế hoạch bù còn chung chung."
S0045,1.0,0.0,1.5,0.0,0.5,3.0,"Bài chọn đủ 2 vị trí và có mô tả kỹ năng/xu hướng ở mức liệt kê, nhưng thiếu JD cụ thể (link/công ty/ngày truy cập) và chưa đối chiếu với CTĐT UIT để nêu gap theo học phần. Cần bổ sung dữ liệu khảo sát thêm (lương/lộ trình/chứng chỉ/portfolio) kèm nguồn rõ ràng."
S0046,1.25,0.5,1.5,0.0,0.75,4.0,"Bài chọn đúng 2 vị trí và có mô tả quy trình khảo sát kèm một số tổng hợp/tần suất yêu cầu, có nêu mức lương. Tuy nhiên thiếu JD cụ thể (link/công ty/ngày), chưa đối chiếu CTĐT UIT để nêu gap rõ ràng và phần bổ sung chưa có nguồn/chi tiết sâu."
S0047,1.5,0.0,1.5,0.5,1.0,4.5,"Bài chọn 2 vị trí phù hợp và có quy trình/phân tích kỹ năng ở mức khá, có số liệu tần suất nhưng thiếu cấu trúc hard/soft/tools và tổng hợp điểm chung/khác rõ ràng. Chưa cung cấp JD cụ thể (link/công ty/ngày) và đối chiếu CTĐT UIT còn chung chung; phần bổ sung có ý nhưng thiếu nguồn dẫn."
S0048,1.25,0.75,1.5,0.0,1.0,4.5,"Bài chọn được 2 vị trí khá phù hợp và có thống kê/tổng hợp kỹ năng, có nêu lương. Tuy nhiên thiếu JD cụ thể có link/công ty/ngày truy cập và chưa đối chiếu với CTĐT UIT để chỉ ra gap và kế hoạch bù rõ ràng."
S0049,1.25,0.0,0.5,0.0,1.0,3.0,Bài có chọn 2 vị trí và có bổ sung một số thông tin về xu hướng/lương nhưng thiếu hoàn toàn JD/nguồn tuyển dụng cụ thể. Phần phân tích theo hướng dẫn và đối chiếu CTĐT UIT (gap + kế hoạch bù) chưa thực hiện.
S0050,1.0,0.0,1.0,0.0,0.75,3.0,Bài có chọn 2 vị trí liên quan nhưng nội dung khảo sát bị lẫn giữa các vị trí và không có JD/link nguồn cụ thể. Có tổng hợp kỹ năng/xu hướng và lương nhưng thiếu đối chiếu CTĐT UIT và thiếu nguồn minh chứng.
S0051,1.0,0.0,1.25,0.5,0.5,3.5,"Bài chọn được 2 vị trí khá phù hợp và có phân tích/tần suất kỹ năng cho Data Analyst, kèm tự đánh giá và kế hoạch học thêm. Tuy nhiên thiếu JD/link nguồn cho cả 2 vị trí, hầu như chưa khảo sát vị trí UX/UI, và chưa đối chiếu cụ thể với CTĐT UIT cũng như nguồn cho phần bổ sung."
S0052,1.0,1.25,1.25,0.0,1.0,4.5,"Bài chọn đúng 2 vị trí và có thu thập nhiều tin tuyển dụng, kèm một số thông tin lương/kỹ năng. Tuy nhiên thiếu link/ngày truy cập JD, phân tích còn chung chung và chưa đối chiếu CTĐT UIT để nêu gap/kế hoạch bù cụ thể."
S0053,1.25,0.0,1.5,0.0,1.0,4.0,"Bài chọn đúng 2 vị trí và có mô tả, đồng thời có phần liệt kê/ước lượng yêu cầu và xu hướng. Tuy nhiên thiếu JD cụ thể (link/công ty/ngày) và chưa đối chiếu với CTĐT UIT để chỉ ra gap rõ ràng."
S0054,0.75,0.0,0.75,0.0,0.75,2.5,"Bài có nêu 2 vị trí nhưng phần khảo sát vị trí 1 bị lệch sang “Quản lý truyền thông xã hội”, thiếu giải thích vì sao phù hợp TMĐT. Không cung cấp JD/link nguồn cụ thể và chưa đối chiếu CTĐT UIT; phần lương/xu hướng có nêu nhưng chưa có nguồn."
S0055,1.0,0.0,1.0,0.0,0.5,2.5,"Bài chọn được 2 vị trí nhưng chưa giải thích vì sao phù hợp và phần khảo sát/ phân tích chủ yếu mới làm cho 1 vị trí. Thiếu JD có nguồn/link cụ thể, chưa đối chiếu CTĐT UIT và phần bổ sung (lương/xu hướng/chứng chỉ/portfolio) còn ít và không kèm nguồn."
S0056,1.25,0.75,1.75,0.5,1.25,5.5,"Bài chọn 2 vị trí phù hợp và có phân tích/tổng hợp kỹ năng, xu hướng khá nhiều. Tuy nhiên phần nguồn JD thiếu link/ngày truy cập và phần đối chiếu CTĐT UIT + xác định gap theo học phần còn rất chung chung."
S0057,1.0,0.0,1.0,0.0,0.0,2.0,"Bài chọn được 2 vị trí và mô tả vai trò/yêu cầu khá nhiều, nhưng thiếu JD/nguồn tuyển dụng cụ thể nên chưa đúng hướng dẫn khảo sát. Chưa có phần phân tích có cấu trúc/tổng hợp so sánh, chưa đối chiếu CTĐT UIT và chưa bổ sung dữ liệu khảo sát thêm (lương/lộ trình/chứng chỉ/xu hướng)."
S0058,1.0,0.0,1.0,0.0,0.5,2.5,"Bài có chọn 2 vị trí và có mô tả yêu cầu/kỹ năng, xu hướng ở mức liệt kê. Tuy nhiên thiếu JD/nguồn cụ thể, chưa phân tích có cấu trúc và không đối chiếu CTĐT UIT/khoảng trống kỹ năng; phần khảo sát bổ sung chưa có dữ liệu/nguồn (lương, chứng chỉ, lộ trình)."
S0059,1.5,0.5,1.5,0.0,1.0,4.5,"Bài chọn đúng 2 vị trí và có phân tích xu hướng/kỹ năng khá đầy đủ, có đề cập công cụ. Tuy nhiên thiếu nguồn JD rõ ràng (link/ngày truy cập) và chưa đối chiếu với CTĐT UIT để chỉ ra gap/kế hoạch bù cụ thể."
S0060,1.25,0.0,1.25,0.75,1.0,4.5,"Bài chọn đúng 2 vị trí và có mô tả công việc, có tổng hợp một số kỹ năng và số liệu tần suất. Tuy nhiên thiếu JD kèm link/nguồn cụ thể và chưa đối chiếu rõ với CTĐT UIT; phần lương/xu hướng chưa có nguồn dẫn."
S0061,1.0,0.5,1.5,0.5,0.75,4.5,"Bài làm chọn đủ 2 vị trí và có mô tả kỹ năng/đánh giá bản thân, nhưng thiếu JD cụ thể (link/công ty/ngày) và phần đối chiếu rõ với CTĐT UIT. Phần bổ sung (lương, xu hướng/chứng chỉ/portfolio) còn ít và chưa có nguồn dẫn."
S0062,1.0,1.0,1.5,0.5,1.0,5.0,"Bài làm có chọn đủ 2 vị trí và thu thập nhiều JD, có tổng hợp kỹ năng/tần suất yêu cầu. Tuy nhiên thiếu link/ngày truy cập nguồn tuyển dụng, phân tích & đối chiếu với CTĐT UIT còn chung chung và phần bổ sung (xu hướng/chứng chỉ/portfolio) chưa có nguồn rõ ràng."
S0063,1.0,0.0,1.75,0.75,1.0,4.5,"Bài chọn đúng 2 vị trí và có phân tích/tổng hợp kỹ năng, xu hướng khá đầy đủ, có nêu lương. Tuy nhiên thiếu JD cụ thể (link/công ty/ngày truy cập) và phần đối chiếu CTĐT UIT còn chung chung, chưa chỉ rõ học phần và gap/kế hoạch bù thật cụ thể."
S0064,1.25,0.5,1.0,0.75,0.75,4.5,"Bài chọn đúng 2 vị trí và có tổng hợp yêu cầu/kỹ năng cơ bản, có thêm thông tin lương. Tuy nhiên thiếu link/ngày truy cập JD, phần phân tích còn rời rạc và chưa đối chiếu cụ thể với CTĐT UIT để nêu gap và kế hoạch bù chi tiết."
S0065,1.0,0.0,1.5,0.0,1.0,3.5,"Bài chọn đủ 2 vị trí và có tổng hợp kỹ năng/lương ở mức cơ bản, nhưng thiếu JD cụ thể (link/công ty/ngày) và chưa đối chiếu CTĐT UIT để xác định gap theo học phần. Cần bổ sung nguồn minh chứng và phần so sánh/tổng hợp theo đúng hướng dẫn."
S0066,1.0,0.5,0.0,0.0,0.5,2.0,"Bài có nêu 2 vị trí (Digital Marketing Specialist và Quản lý sàn TMĐT) nhưng thiếu giải thích vì sao phù hợp và hầu hết chỉ liệt kê yêu cầu tuyển dụng. Nguồn JD chưa có link/ngày truy cập, chưa phân tích/tổng hợp, chưa đối chiếu CTĐT UIT; phần lương có đề cập rải rác nhưng thiếu nguồn và kết luận."
S0067,1.0,0.5,1.25,0.0,0.75,3.5,"Bài có nêu 2 vị trí và một số kỹ năng/công cụ, kèm kế hoạch học tập, nhưng thiếu JD cụ thể (ít JD, không link/nguồn/ngày) và phân tích còn chung chung. Chưa đối chiếu với CTĐT UIT và phần bổ sung (lương/xu hướng/chứng chỉ/portfolio) thiếu nguồn rõ ràng."
S0068,1.5,0.0,1.5,0.0,1.0,4.0,"Bài chọn đủ 2 vị trí và có mô tả/nhận định xu hướng, lương ở mức khái quát. Tuy nhiên thiếu JD cụ thể có link/công ty/ngày truy cập và chưa đối chiếu với CTĐT UIT để chỉ ra gap theo học phần."
S0069,1.0,0.0,1.25,0.0,1.0,3.5,"Bài có 2 vị trí và có tổng hợp kỹ năng/công cụ, kèm một số thông tin lương/chứng chỉ. Tuy nhiên thiếu JD cụ thể (link/công ty/ngày), thiếu tổng hợp so sánh theo hướng dẫn, và chưa đối chiếu với CTĐT UIT để nêu gap đúng yêu cầu."
S0070,1.25,0.5,1.5,0.5,1.0,5.0,"Bài chọn đủ 2 vị trí và có tổng hợp kỹ năng/tần suất tương đối, kèm lương tham khảo. Tuy nhiên thiếu JD cụ thể (link/công ty/ngày truy cập) và phần đối chiếu CTĐT UIT + xác định gap còn chung chung, ít dẫn nguồn cho phần bổ sung."
S0071,1.0,0.5,1.0,0.0,0.75,3.5,"Bài chọn 2 vị trí phù hợp và có mô tả nhiệm vụ/kỹ năng cơ bản, có đề cập lương và cơ hội thăng tiến. Tuy nhiên thiếu JD cụ thể (link/công ty/ngày), phân tích còn liệt kê rời rạc và chưa đối chiếu CTĐT UIT cũng như xác định gap/kế hoạch bù rõ ràng."
S0072,1.0,1.0,2.0,0.5,1.0,5.5,"Bài chọn đủ 2 vị trí và có tổng hợp yêu cầu/ xu hướng khá tốt, nhưng phần JD thiếu link/ngày truy cập và đối chiếu với CTĐT UIT gần như chưa có. Cần bổ sung nguồn trích dẫn rõ ràng và nêu cụ thể học phần UIT liên quan + gap/kế hoạch bù chi tiết."
S0073,1.0,0.0,1.5,0.0,1.0,3.5,"Bài chọn đúng 2 vị trí và có phân tích kỹ năng ở mức cơ bản, kèm một số thông tin bổ sung (lương/lộ trình). Tuy nhiên thiếu JD cụ thể có link/nguồn/ngày truy cập và chưa đối chiếu CTĐT UIT để chỉ ra gap kỹ năng rõ ràng."
S0074,1.25,0.0,1.25,0.0,0.5,3.0,"Bài chọn đúng 2 vị trí và có mô tả cơ bản, có nêu kỹ năng/tần suất và mức lương tham khảo. Tuy nhiên thiếu JD cụ thể (link/nguồn) cho từng vị trí và chưa đối chiếu CTĐT UIT cũng như phần bổ sung chưa có nguồn rõ ràng."
S0075,1.5,0.5,1.75,0.0,1.0,5.0,"Bài chọn đúng 2 vị trí phù hợp và có phân tích kỹ năng/tần suất khá rõ, có nêu lương và xu hướng. Tuy nhiên thiếu JD cụ thể kèm link/công ty/ngày truy cập và chưa đối chiếu với CTĐT UIT để chỉ ra skill gap theo học phần."
S0076,1.25,0.75,1.5,0.5,1.0,5.0,"Bài chọn đúng 2 vị trí và có tổng hợp yêu cầu/tần suất kỹ năng, kèm xu hướng và một số mức lương. Tuy nhiên thiếu link/ngày truy cập JD và chưa đối chiếu cụ thể với học phần CTĐT UIT (mới dừng ở tự đánh giá gap chung)."
S0077,1.0,0.0,1.5,0.5,1.0,4.0,"Em chọn đúng 2 vị trí và có phân tích/tổng hợp tần suất kỹ năng, kèm tự đánh giá và kế hoạch học thêm. Tuy nhiên bài thiếu JD/nguồn cụ thể (link, công ty, ngày truy cập) và chưa đối chiếu rõ với các học phần/hoạt động trong CTĐT UIT; phần bổ sung (lương/xu hướng) còn thiếu nguồn."
S0078,1.25,0.5,1.5,0.0,1.0,4.5,"Bài chọn 2 vị trí phù hợp và có phân tích yêu cầu/kỹ năng ở mức ổn, có nhắc lương và xu hướng. Tuy nhiên thiếu JD cụ thể (link/công ty/ngày truy cập) và chưa đối chiếu với CTĐT UIT để chỉ ra gap & kế hoạch bù rõ ràng."
S0079,1.0,0.0,1.25,0.0,1.0,3.5,"Bài có 2 vị trí và có tổng hợp kỹ năng/xu hướng, lương và kế hoạch học/chứng chỉ, nhưng thiếu JD cụ thể (link/công ty/ngày) và chưa phân tích theo cấu trúc + tổng hợp điểm chung/khác. Chưa đối chiếu với CTĐT UIT và nêu gap theo học phần/hoạt động của UIT."
S0080,1.25,1.0,1.5,0.5,1.25,5.5,"Bài chọn đủ 2 vị trí liên quan và có tổng hợp một số yêu cầu/xu hướng, kèm mức lương ở nhiều tin. Tuy nhiên thiếu link/ngày truy cập JD và gần như chưa đối chiếu cụ thể với CTĐT UIT để nêu gap theo học phần và kế hoạch bù chi tiết."
