MSSV,TC1(/2),TC2(/2),TC3(/2),TC4(/2),TC5(/2),Tổng(/10),Nhận xét ngắn
S0019,1.0,1.0,1.25,1.0,1.25,5.5,"Bài trả lời khá đầy đủ và có cấu trúc, nhiều ý đúng hướng. Tuy nhiên hầu như không có dẫn nguồn/link chính thống theo yêu cầu (UIT/daa/CTĐT), và một số nội dung còn chung chung hoặc thiếu danh mục học phần đầy đủ."
S0020,1.5,1.0,1.5,1.0,1.0,6.0,"Bài trả lời có nội dung cho hầu hết câu hỏi và nêu được một số ý chính, nhưng hầu như không có dẫn nguồn/link theo yêu cầu. Một số phần còn chung chung/thiếu chi tiết (đặc biệt chuẩn đầu ra và danh sách học phần theo CTĐT)."
S0021,1.0,1.5,1.5,1.0,1.25,6.5,"Bài trả lời khá đầy đủ các câu và có nội dung tương đối đúng, nhưng hầu như không có dẫn nguồn/link theo yêu cầu nên bị trừ điểm ở nhiều tiêu chí. Phần liệt kê học phần còn thiếu và phân nhóm CNTT vs nghiệp vụ chưa rõ ràng."
S0022,1.25,1.25,1.5,1.0,0.75,6.0,Bài trả lời khá đầy đủ các câu nhưng hầu như không có dẫn nguồn/link theo yêu cầu rubric. Nhóm câu 17-18 còn rất chung chung/thiếu nguồn uy tín và phần khối kiến thức tốt nghiệp mô tả chưa khớp 12TC.
S0023,1.25,1.25,1.5,1.25,1.25,6.5,"Bài trả lời khá đầy đủ và nhìn chung đúng trọng tâm, có ví dụ vị trí việc làm và liệt kê được các nhóm nội dung. Tuy nhiên hầu như không có dẫn nguồn/link theo yêu cầu nên bị trừ điểm ở hầu hết tiêu chí, và danh sách học phần còn thiếu so với CTĐT."
S0024,1.5,1.5,1.5,1.25,1.5,7.5,"Bài trả lời khá đầy đủ và có cấu trúc, nhiều nội dung chi tiết. Tuy nhiên hầu như không có dẫn nguồn/link theo yêu cầu rubric và danh sách học phần còn thiếu so với CTĐT nên bị trừ điểm ở nhiều tiêu chí."
S0025,1.25,1.25,1.5,1.0,1.0,6.0,"Bài trả lời khá đầy đủ nội dung các câu hỏi và có ví dụ minh họa, nhưng hầu như không có dẫn nguồn/link theo yêu cầu nên bị trừ điểm ở nhiều tiêu chí. Phần liệt kê học phần và khối kiến thức tốt nghiệp còn thiếu/chưa khớp rõ với CTĐT."
S0026,1.5,1.5,1.5,1.25,1.0,7.0,"Bài trả lời khá đầy đủ nội dung chính và có cấu trúc, đặc biệt phần chuẩn đầu ra và điều kiện tốt nghiệp. Tuy nhiên hầu như thiếu dẫn nguồn/link theo yêu cầu và một số mục liệt kê còn chưa đầy đủ hoặc ví dụ/nguồn tham khảo còn chung chung."
S0027,1.0,1.25,1.5,1.0,1.5,6.5,"Bài trả lời khá đầy đủ và có diễn giải/ ví dụ, tuy nhiên hầu như không có dẫn nguồn/link theo yêu cầu rubric nên bị trừ điểm ở nhiều tiêu chí. Phần liệt kê học phần khối CNTT còn thiếu nhiều môn và chưa đối chiếu rõ theo CTĐT."
S0028,1.0,1.0,1.5,1.25,0.75,5.5,"Bài trả lời khá đầy đủ nội dung các câu, đặc biệt nhóm mục tiêu & chuẩn đầu ra TMĐT; tuy nhiên hầu như không có dẫn nguồn/link theo yêu cầu. Nhóm nguồn báo cáo/tạp chí còn thiếu và một số nguồn chưa uy tín, cần bám sát nguồn UIT/daa.uit.edu.vn và bổ sung đủ các ý còn thiếu."
S0029,1.25,1.5,1.0,0.5,1.25,5.5,"Bài trả lời khá đầy đủ và có cấu trúc, nhiều nội dung đúng hướng. Tuy nhiên hầu như không có dẫn nguồn/link theo yêu cầu và có lỗi ở Câu 8 (chuẩn tiếng Anh) cùng phần liệt kê học phần (Câu 9-10) còn mang tính chung chung, chưa bám CTĐT."
S0030,1.0,0.75,1.0,1.0,1.25,5.0,"Bài trả lời khá đầy đủ ý nhưng hầu như không có dẫn nguồn/link UIT/daa.uit.edu.vn nên chỉ đạt mức một phần ở hầu hết tiêu chí; nhiều nội dung còn diễn giải chung chung, chưa bám sát CTĐT/chuẩn đầu ra cụ thể."
S0031,1.0,1.0,1.0,1.0,1.0,5.0,"Bài trả lời khá đầy đủ các câu nhưng hầu như không có dẫn nguồn/link theo yêu cầu nên bị trừ điểm nhiều. Một số ý còn chung chung/thiếu cụ thể (đặc biệt chuẩn TA K2024, khối 12TC và danh mục học phần theo CTĐT)."
S0032,1.5,1.5,1.25,1.0,1.5,7.0,"Bài trả lời khá đầy đủ và có cấu trúc, đặc biệt các phần nền tảng học/báo cáo/tạp chí. Tuy nhiên thiếu dẫn nguồn (link) theo yêu cầu và còn thiếu câu 8 (chuẩn đầu ra tiếng Anh khóa 2024), danh sách học phần ở câu 9-10 còn thiếu nhiều so với CTĐT."
S0033,1.25,1.25,1.5,1.0,1.25,6.5,"Bài trả lời khá đầy đủ nhiều câu và có cấu trúc, nhưng hầu như không có dẫn nguồn/link UIT/daa nên bị trừ điểm theo rubric. Phần liệt kê học phần (CNTT & nghiệp vụ cốt lõi) còn thiếu nhiều môn và ví dụ/nguồn cho các mục kỹ năng–tài liệu cần cụ thể hơn."
S0034,1.25,1.5,1.5,1.25,1.5,7.0,"Bài trả lời khá đầy đủ và có cấu trúc, nhiều nội dung đúng trọng tâm. Tuy nhiên hầu như không có dẫn nguồn/link theo yêu cầu và một số liệt kê học phần còn trùng/lẫn, nên bị trừ điểm ở các tiêu chí liên quan."
S0035,1.25,1.5,1.5,0.5,1.5,6.5,"Bài làm có nội dung khá đầy đủ ở nhiều câu và có ví dụ minh họa, nhưng hầu như không có dẫn nguồn/link theo yêu cầu rubric. Thiếu nội dung quan trọng ở Câu 10 nên điểm phần học phần cốt lõi bị trừ nhiều."
S0036,1.25,1.5,1.0,1.25,1.0,6.0,"Bài trả lời khá đầy đủ ý ở nhiều câu và có liệt kê được nội dung chính, nhưng hầu như không có dẫn nguồn/link theo yêu cầu. Một số thông tin còn sai/không chính xác (đặc biệt Câu 6) và một số mục liệt kê còn chung chung hoặc chưa đúng trọng tâm (Câu 16, 18)."
S0037,1.0,1.25,1.25,1.0,1.25,6.0,"Bài trả lời khá đầy đủ các câu và có nội dung đúng hướng, nhưng hầu như không có dẫn nguồn/link theo yêu cầu nên bị trừ nhiều điểm. Một số phần liệt kê môn học và kỹ năng mềm còn chung chung/chưa bám sát CTĐT và ví dụ cụ thể."
S0038,1.0,1.0,1.25,0.5,1.25,5.0,"Bài trả lời có nội dung và trình bày tương đối rõ, nhưng hầu như thiếu dẫn nguồn/link theo yêu cầu; một số phần còn chung chung hoặc lệch (Câu 2) và phần liệt kê học phần (C9-10) thiếu nhiều/để trống."
S0039,1.25,1.5,1.5,0.75,1.25,6.5,"Bài trả lời khá đầy đủ nội dung các câu, diễn đạt rõ; tuy nhiên hầu như không có dẫn nguồn/link theo yêu cầu. Danh sách học phần (CNTT và nghiệp vụ TMĐT) còn mang tính chung chung, chưa bám đúng CTĐT nên bị trừ điểm."
S0040,1.25,1.5,1.5,1.0,1.25,6.5,"Bài trả lời khá đầy đủ nội dung và có nhiều ý chi tiết, nhưng hầu như không có dẫn nguồn/link theo yêu cầu nên bị trừ điểm ở các tiêu chí. Nhóm học phần (CNTT vs nghiệp vụ) phân loại còn lẫn và phần kỹ năng mềm/đạo đức còn chung chung, thiếu ví dụ gắn với hoạt động cụ thể."
S0041,0.75,1.5,1.5,1.0,1.0,6.0,"Bài trả lời có nội dung khá đầy đủ ở mục tiêu/chuẩn đầu ra và phần việc làm–tín chỉ–tốt nghiệp, nhưng thiếu dẫn nguồn link theo yêu cầu (đặc biệt nguồn UIT/daa). Nhóm học phần nghiệp vụ cốt lõi và các ý về kỹ năng mềm/khối tốt nghiệp 12TC/nguồn học–tạp chí còn liệt kê thiếu và chưa cụ thể."
S0042,1.5,1.5,1.5,1.0,1.25,7.0,"Bài trả lời khá đầy đủ và có cấu trúc, nhiều nội dung đúng/chi tiết (đặc biệt CĐR và khối kiến thức tốt nghiệp), nhưng hầu như không có dẫn nguồn/link nên bị trừ theo rubric. Danh sách học phần (C9-10) còn mang tính khái quát, thiếu bám CTĐT; đồng thời thiếu nội dung câu 11 về kỹ năng mềm/đạo đức."
S0043,1.25,1.5,1.5,1.0,1.0,6.5,"Bài trả lời khá đầy đủ nội dung các câu và có một số thông tin cụ thể (mục tiêu, CĐR, 125TC, TOEIC), nhưng hầu như không có dẫn nguồn/link theo yêu cầu và một số phần liệt kê học phần/nguồn tham khảo còn chung chung, chưa bám CTĐT rõ."
S0044,1.25,1.25,1.5,1.0,1.25,6.5,"Bài trả lời khá đầy đủ nội dung và có ví dụ nghề nghiệp, nhưng hầu hết các ý chính còn thiếu dẫn nguồn chính thống (UIT/daa/CTĐT) và phần liệt kê học phần còn thiếu nhiều môn quan trọng. Cần bổ sung link nguồn uy tín và rà soát lại danh mục học phần theo CTĐT."
S0045,1.25,1.25,1.0,1.0,1.25,6.0,"Bài trả lời khá đầy đủ các câu và có cấu trúc, nhưng hầu như không có dẫn nguồn/link theo yêu cầu nên bị trừ điểm ở các tiêu chí. Một số thông tin còn thiếu/chưa chắc chính xác (ví dụ tổng TC và điều kiện tốt nghiệp không nhất quán), danh sách học phần còn thiếu và có vài chỗ ghi chưa chuẩn."
S0046,1.5,1.5,1.25,1.0,1.25,6.5,"Bài trả lời khá đầy đủ và có cấu trúc, nhiều ý đúng trọng tâm. Tuy nhiên hầu như không có dẫn nguồn/link theo yêu cầu và một số phần còn thiếu/chưa chính xác (điều kiện tốt nghiệp, liệt kê & phân nhóm học phần)."
S0047,1.25,1.5,1.25,1.25,1.0,6.5,"Bài trả lời khá đầy đủ ở nhóm mục tiêu/chuẩn đầu ra và định hướng nghề nghiệp, nhưng thiếu dẫn nguồn (link) ở hầu hết các ý. Một số câu còn bỏ trống (chuẩn TA) và phần ví dụ/nguồn tham khảo (tạp chí, nền tảng) chưa phù hợp hoặc chưa đủ uy tín."
S0048,1.25,1.5,1.5,0.75,1.5,6.5,"Bài trả lời khá đầy đủ và trình bày rõ, nhiều nội dung đúng trọng tâm. Tuy nhiên hầu như không có dẫn nguồn/link theo yêu cầu và Câu 10 bị bỏ trống nên bị trừ điểm."
S0049,1.25,1.5,1.5,1.25,1.25,7.0,"Bài trả lời khá đầy đủ và có nội dung đúng trọng tâm ở hầu hết câu hỏi, đặc biệt phần mục tiêu/chuẩn đầu ra và định hướng nghề nghiệp. Tuy nhiên hầu như không có dẫn nguồn/link theo yêu cầu rubric và một số phần liệt kê học phần còn thiếu nhiều so với CTĐT."
S0050,1.5,1.5,1.75,1.25,1.0,7.0,"Bài trả lời khá đầy đủ nội dung các câu và có cấu trúc, nhưng hầu như không có dẫn nguồn/link theo yêu cầu rubric. Nhóm 5 còn thiếu/không bám sát một số ý (đặc biệt phần 16-18) và ví dụ nguồn tham khảo chưa thật sự phù hợp/uy tín."
S0051,1.5,1.5,1.5,1.0,1.25,7.0,"Bài trả lời khá đầy đủ và có cấu trúc, nhiều nội dung đúng trọng tâm. Tuy nhiên hầu như không có dẫn nguồn/link theo yêu cầu và phần liệt kê học phần (đặc biệt khối CNTT) còn thiếu nhiều so với CTĐT nên bị trừ điểm."
S0052,1.25,1.5,1.5,1.0,1.25,6.5,"Bài trả lời khá đầy đủ nội dung các câu và có diễn giải, nhưng hầu như không có dẫn nguồn/link UIT/daa/CTĐT nên bị trừ điểm ở nhiều tiêu chí. Phần liệt kê học phần còn chung chung, chưa bám đúng tên môn theo CTĐT và phân nhóm chưa thật rõ."
S0053,1.0,1.25,1.5,1.0,1.25,6.0,"Bài trả lời khá đầy đủ nhiều câu và có liệt kê tương đối rõ ràng, đặc biệt phần việc làm và chuẩn TA. Tuy nhiên hầu như không có dẫn nguồn/link theo yêu cầu và một số phần liệt kê học phần, ví dụ/nguồn tham khảo còn thiếu hoặc chưa thật sự uy tín."
S0054,1.25,1.25,1.5,1.0,0.75,6.0,"Bài trả lời khá đầy đủ nội dung các câu nhưng hầu như không có dẫn nguồn/link theo yêu cầu. Một số phần còn chung chung hoặc chưa đúng trọng tâm (đặc biệt tự chọn tự do, nguồn báo cáo/tạp chí về TMĐT) và liệt kê học phần còn thiếu."
S0055,1.5,1.5,1.75,1.25,1.5,7.5,"Bài làm trả lời khá đầy đủ các câu hỏi và có nhiều nội dung cụ thể, tuy nhiên hầu như thiếu dẫn nguồn/link theo yêu cầu rubric và một số phần liệt kê học phần còn trùng/thiếu phân nhóm rõ."
S0056,1.5,1.5,1.5,1.0,1.0,6.5,"Bài trả lời khá đầy đủ các câu và có diễn giải, đặc biệt phần mục tiêu/CĐR và cơ hội nghề nghiệp. Tuy nhiên hầu như không có dẫn nguồn/link theo yêu cầu và một số liệt kê học phần/nền tảng học còn chưa đúng trọng tâm CTĐT."
S0057,1.25,1.5,1.5,1.0,0.75,6.0,Bài trả lời khá đầy đủ ở các câu 1–8 nhưng hầu như thiếu dẫn nguồn chính thức (UIT/daa.uit.edu.vn/CTĐT 2024). Nhóm 5 còn thiếu lớn (Câu 11 bỏ trống) và phần nền tảng/nguồn tham khảo còn chưa đúng trọng tâm.
S0058,1.25,1.25,1.0,1.0,1.25,6.0,"Bài trả lời khá đầy đủ nhiều ý và có một số phần chi tiết (đặc biệt khối tốt nghiệp 12TC), nhưng hầu như không có dẫn nguồn/link theo yêu cầu. Một vài nội dung còn chung chung hoặc chưa chính xác/thiếu (CĐR ngành, điều kiện tốt nghiệp, chuẩn TA), và liệt kê học phần chưa bám sát CTĐT."
S0059,1.0,1.0,1.0,0.75,0.75,4.5,"Bài trả lời khá đầy đủ và có cấu trúc, nhưng hầu như không có dẫn nguồn/link theo yêu cầu; Câu 8 bị bỏ trống. Danh sách học phần còn thiếu nhiều và phần nguồn tham khảo có mục chưa phù hợp/không uy tín (ví dụ Sci-Hub)."
S0060,1.25,1.25,1.5,1.0,1.5,6.5,"Bài trả lời khá đầy đủ nhiều câu và có ví dụ nghề nghiệp/nền tảng, nhưng hầu hết các phần quan trọng còn thiếu dẫn nguồn UIT/daa/CTĐT theo yêu cầu. Danh sách học phần còn thiếu/chưa chuẩn và phần nguồn tạp chí-kỷ yếu lẫn nhiều nguồn không phải tạp chí khoa học."
S0061,1.5,1.0,1.5,0.75,1.0,6.0,"Bài trả lời có nội dung khá đầy đủ ở nhóm việc làm/tín chỉ/điều kiện tốt nghiệp, nhưng hầu như thiếu dẫn nguồn/link theo yêu cầu và một số câu còn diễn giải chung chung (đặc biệt chuẩn đầu ra và liệt kê học phần). Cần bổ sung trích dẫn từ trang UIT/daa.uit.edu.vn và liệt kê cụ thể hơn theo CTĐT."
S0062,1.0,1.0,1.25,1.0,0.75,5.0,Bài trả lời có đủ ý cơ bản cho hầu hết câu hỏi nhưng thiếu dẫn nguồn/link theo yêu cầu nên bị trừ điểm ở tất cả tiêu chí. Một số phần còn chung chung/thiếu cụ thể và có nguồn liệt kê chưa đáng tin (ví dụ “thầy Tín”).
S0063,1.0,1.25,1.25,1.25,0.75,5.5,"Bài làm có nội dung khá đầy đủ ở các phần mục tiêu/nghề nghiệp/học phần, nhưng thiếu dẫn nguồn (link) theo yêu cầu rubric và một số câu còn bỏ trống hoặc nêu chưa đúng trọng tâm (đặc biệt C11, C8 chưa trình bày rõ)."
S0064,1.5,1.5,1.25,1.5,1.5,7.5,"Bài làm trả lời khá đầy đủ và có ví dụ minh họa, tuy nhiên hầu như không có dẫn nguồn/link UIT/daa/CTĐT theo yêu cầu nên bị trừ điểm. Một vài ý còn chưa chắc chính xác (ví dụ số tín chỉ/điều kiện tốt nghiệp) và danh sách học phần còn thiếu so với CTĐT."
S0065,1.25,1.5,1.25,1.0,1.0,6.0,"Bài trả lời khá đầy đủ nhiều câu và có mô tả CĐR, tuy nhiên hầu như không có dẫn nguồn/link theo yêu cầu và còn thiếu một số ý quan trọng (đặc biệt Câu 4, Câu 8; liệt kê học phần còn thiếu, phần nguồn/tạp chí chưa uy tín)."
S0066,1.25,1.0,1.0,1.25,1.25,6.0,"Bài trả lời khá đầy đủ nội dung và có ví dụ, nhưng hầu như thiếu dẫn nguồn/link theo yêu cầu; đặc biệt Câu 8 (chuẩn tiếng Anh) bị bỏ trống nên bị trừ điểm đáng kể. Một số phần liệt kê học phần còn thiếu và mô tả (Câu 13) còn chung chung."
S0067,1.25,1.25,1.5,1.25,1.25,6.5,"Bài trả lời khá đầy đủ các câu và có cấu trúc, nhưng hầu như không có dẫn nguồn/link UIT/daa theo yêu cầu nên bị trừ điểm. Một số ý còn liệt kê chung chung/thiếu cụ thể (đặc biệt chuẩn đầu ra, danh sách học phần và ví dụ nền tảng/nguồn tham khảo)."
S0068,1.25,1.5,1.5,1.0,0.75,6.0,"Bài trả lời khá đầy đủ ở các câu 1–8 và có liệt kê được nhiều ý chính, nhưng hầu như thiếu dẫn nguồn/link UIT/daa. Một số phần nhóm 5 còn bỏ trống (C11) và ví dụ/nguồn ở C16–18 chưa phù hợp hoặc chưa đủ uy tín."
S0069,1.25,1.0,1.75,1.25,1.5,7.0,"Bài trả lời khá đầy đủ nhiều câu, đặc biệt phần nghề nghiệp và nguồn tham khảo (16-18) có ví dụ và link. Tuy nhiên các ý về UIT/CTĐT (nhóm 1-2 và một phần 12-13) hầu như thiếu dẫn nguồn/link chính thống và phần liệt kê học phần còn lẫn nhóm/chưa bám sát CTĐT rõ ràng."
S0070,1.0,1.5,1.5,1.0,1.25,6.5,"Bài trả lời khá đầy đủ và có cấu trúc, nhiều nội dung đúng và có ví dụ. Tuy nhiên hầu như không có dẫn nguồn/link theo yêu cầu và phần liệt kê học phần (đặc biệt câu 10) còn thiếu/không rõ nên bị trừ điểm."
S0071,1.25,1.5,1.5,1.25,1.25,7.0,"Bài trả lời khá đầy đủ và đúng trọng tâm nhiều câu, đặc biệt phần mục tiêu/chuẩn đầu ra và khối kiến thức tốt nghiệp. Tuy nhiên hầu như không có dẫn nguồn/link UIT/daa cho các ý chính và một số phần liệt kê học phần, kỹ năng mềm còn thiếu cụ thể."
S0072,1.5,1.5,1.75,1.25,1.0,7.0,"Bài trả lời khá đầy đủ nội dung các câu, đặc biệt phần mục tiêu/chuẩn đầu ra và cơ hội nghề nghiệp. Tuy nhiên hầu như không có dẫn nguồn/link theo yêu cầu và một số mục (khối tốt nghiệp 12TC, kỹ năng mềm/đạo đức, tự chọn tự do) còn trình bày chung chung hoặc thiếu ví dụ cụ thể."
S0073,1.25,1.0,1.5,0.75,1.25,6.0,"Bài trả lời khá đầy đủ nhiều câu và có nội dung đúng hướng, nhưng hầu như không có dẫn nguồn/link theo yêu cầu. Một số phần (đặc biệt câu 3 và liệt kê học phần câu 9-10) còn thiếu hoặc trình bày quá chung chung nên chưa đạt tối đa."
S0074,1.0,1.25,1.25,1.0,0.75,5.5,"Bài trả lời khá đầy đủ nhiều câu và có ví dụ nghề nghiệp/nguồn tham khảo ở phần sau, nhưng hầu như không có dẫn nguồn/link theo yêu cầu nên bị trừ điểm ở hầu hết tiêu chí. Phần liệt kê học phần và kỹ năng mềm/đạo đức, các ý 16-18 còn thiếu/thiếu bám sát và chưa đủ cụ thể."
S0075,1.5,1.5,1.5,1.0,1.5,7.0,"Bài trả lời khá đầy đủ và diễn đạt rõ, nhưng hầu như không có dẫn nguồn/link UIT/daa theo yêu cầu nên bị trừ điểm ở nhiều tiêu chí. Danh sách học phần (CNTT và nghiệp vụ TMĐT) còn thiếu nhiều môn quan trọng và chưa bám đầy đủ CTĐT."
S0076,1.25,1.5,1.5,1.25,1.5,7.0,"Bài làm trả lời khá đầy đủ các câu, có diễn giải và ví dụ nghề nghiệp; tuy nhiên hầu như không có dẫn nguồn/link theo yêu cầu rubric. Một số thông tin còn chưa nhất quán (tín chỉ tối thiểu 125 vs 126) và danh sách học phần còn thiếu nhiều so với CTĐT."
S0077,1.25,1.25,1.5,0.75,1.25,6.0,"Bài trả lời khá đầy đủ các câu và trình bày có cấu trúc, đặc biệt phần nghề nghiệp và khối tốt nghiệp. Tuy nhiên hầu như không có dẫn nguồn/link theo yêu cầu và một số danh mục học phần (Câu 9-10) mang tính chung chung, chưa bám CTĐT."
S0078,1.25,1.5,1.25,1.0,1.0,6.0,"Bài có nhiều nội dung đúng và khá đầy đủ, nhưng hầu như không có dẫn nguồn/link theo yêu cầu nên bị trừ điểm ở hầu hết tiêu chí. Một số ý còn thiếu/chưa rõ (chuẩn tiếng Anh, phân nhóm & liệt kê học phần theo CTĐT, khối 12TC và phần kỹ năng mềm/đạo đức)."
S0079,1.25,1.5,1.5,1.0,1.5,7.0,"Bài trả lời khá đầy đủ và nhìn chung đúng ý, đặc biệt phần mục tiêu/CĐR và khối kiến thức tốt nghiệp. Tuy nhiên hầu như thiếu dẫn nguồn/link theo yêu cầu và phần liệt kê học phần (CNTT, nghiệp vụ cốt lõi) còn mang tính chung chung, chưa bám đúng CTĐT."
S0080,1.25,1.25,1.0,1.5,1.25,6.5,"Bài làm có nội dung khá đầy đủ ở nhiều câu và có liệt kê học phần/khối tốt nghiệp, nhưng thiếu dẫn nguồn (link) cho hầu hết ý chính và còn bỏ trống CĐR tiếng Anh (Câu 8). Một số nguồn/tạp chí nêu còn chung chung hoặc chưa đáng tin."
S0081,1.25,1.5,1.5,1.0,0.75,6.0,"Bài trả lời được hầu hết câu hỏi và có cấu trúc cơ bản, nhưng gần như không có dẫn nguồn/link chính thống theo yêu cầu rubric. Nhóm câu 11 còn bỏ trống và phần liệt kê học phần/nền tảng học/báo cáo-tạp chí còn thiếu và chưa sát."
